번호,제목,링크
1,'사람 중심 AI' 개발 나선다…LG U+와 LG AI연구원 '원팀',https://n.news.naver.com/mnews/article/079/0003999890
2,6G 표준 논의 한국에서 시작…3GPP 6G 워크숍·기술총회 10일 개막,https://n.news.naver.com/mnews/article/032/0003355473
3,'놀유니버스' 판교 시대 개막…'NOL' 가족 1600명 한둥지,https://n.news.naver.com/mnews/article/003/0013107142
4,"xAI, '세계 최대' 데이터센터 건설 박차…10만㎡ 부지 매입",https://n.news.naver.com/mnews/article/015/0005103775
5,통신3사 모두 빅테크 손잡은 이유는…'AI 래퍼' 시장 뜬다,https://n.news.naver.com/mnews/article/001/0015253880
6,"통신도 모바일도 핵심은 'AI'…통신 3사, 빅테크와 협력 과시[MWC]",https://n.news.naver.com/mnews/article/001/0015253989
7,"""한국선 구글맵이 왜 이렇죠?"" 불만 속출…규제 풀면 '4조 경제효과' 예상",https://n.news.naver.com/mnews/article/015/0005103839
8,국가AI센터인데… 칩·전력·부지 모두 `기업 몫`,https://n.news.naver.com/mnews/article/029/0002939929
9,“벌써 200만명이나 떠났다” 한국서 꼴찌 추락…충격 받은 디즈니 ‘파격 결단’,https://n.news.naver.com/mnews/article/016/0002439333
10,"[어바웃 C] '상장 공신' 크래프톤 배동근, 쏘카 사외이사 발탁의 의미",https://n.news.naver.com/mnews/article/293/0000064646
11,"""AI가 모바일의 미래"" 한·미·중 기술 경쟁, 스페인 달궜다 [MWC 2025 결산]",https://n.news.naver.com/mnews/article/014/0005318378
12,힘받는 '코인 ETF'… 한국판 블랙록 나오나,https://n.news.naver.com/mnews/article/014/0005318376
13,“다들 가고 싶어 안달인데” 네이버·KT 다 때려치우더니…기어이 ‘세계 최초’ 됐다,https://n.news.naver.com/mnews/article/016/0002439322
14,"""中 자동차 SW, 기존 완성차보다 5년 앞서""",https://n.news.naver.com/mnews/article/015/0005103918
15,"""전력소비 75% 줄인 AI모델…LG유플 익시오에 적용할 것""",https://n.news.naver.com/mnews/article/015/0005103917
16,"갈변 억제 바나나 시판된다…""유전자교정 기술로 음식폐기물 줄여""",https://n.news.naver.com/mnews/article/584/0000031278
17,새 내용없던 美 '크립토 서밋'…트럼프 픽했던 코인들 '와르르',https://n.news.naver.com/mnews/article/018/0005958715
18,영상서 로봇까지…中 오픈소스 AI의 공습,https://n.news.naver.com/mnews/article/009/0005455783
19,"""모든 출연硏 당장 AI로 혁신해야 … 올해 놓치면 3년 뒤처져""",https://n.news.naver.com/mnews/article/009/0005455763
20,6G·양자 혁신도 놓쳐선 안돼 … 유니콘 키워야,https://n.news.naver.com/mnews/article/009/0005455762
21,"삼성 XR 헤드셋 '무한'에 의지 활활...애플, 보급형 개발 속도",https://n.news.naver.com/mnews/article/138/0002192278
22,유한양행 폐암신약 '렉라자' 영국도 뚫었다,https://n.news.naver.com/mnews/article/015/0005103851
23,[IR52 장영실상] 탄소배출 90% 줄이고 출력은 디젤엔진처럼,https://n.news.naver.com/mnews/article/009/0005455752
24,"""한국선 구글맵이 왜 이렇죠?"" 불만 속출…규제 풀면 '4조 경제효과' 예상",https://n.news.naver.com/mnews/article/015/0005103839
25,"[황순민의 더 테크웨이브] ""사이버 보안 없는 AI 감당할 수 없는 도박""",https://n.news.naver.com/mnews/article/009/0005455725
26,진격의 中 레드테크 … 군사로봇 '게임 체인저'로 떠오른다,https://n.news.naver.com/mnews/article/009/0005455724
27,'디지털자산 기업' 꿈꾸는 아이티센의 2025년 핵심 사업 '귀금속·원자재 투자',https://n.news.naver.com/mnews/article/293/0000064643
28,[이준기의 과·알·세] 차세대발사체 계획 변경 `악수`되나… 험난한 가시밭길 예고,https://n.news.naver.com/mnews/article/029/0002939925
29,"“MS, 자체 추론 모델 개발 중”… 오픈AI 파트너십 흔들리나",https://n.news.naver.com/mnews/article/366/0001059522
30,"고려아연 임시 주총 또 열리나…""주주권 남용 vs 적법한 조치""",https://n.news.naver.com/mnews/article/092/0002365960
31,"부모 카카오톡과 네이버 블로그, 자녀에게 상속 가능할까",https://n.news.naver.com/mnews/article/018/0005958681
32,"삼성, 상반기 공채 시작…16개 계열사서 수천명 채용",https://n.news.naver.com/mnews/article/092/0002365958
33,젊은 고도근시 환자 증가…녹내장 발병 가능성 높아져,https://n.news.naver.com/mnews/article/092/0002365956
34,AI 기술 격전장 된 MWC [MWC 2025],https://n.news.naver.com/mnews/article/014/0005318280
35,인터넷·홈쇼핑도 파는데… 다이소 건기식 판매논란 `일파만파`,https://n.news.naver.com/mnews/article/029/0002939906
36,"경실련 ""의대 증원 `원점` 안돼…언제까지 끌려다닐건가""",https://n.news.naver.com/mnews/article/029/0002939907
37,"""지도 데이터 족쇄 풀면 경제효과 226억 달러""",https://n.news.naver.com/mnews/article/014/0005318265
38,지구상 해빙 면적 사상 최저…2년 만에 경신,https://n.news.naver.com/mnews/article/028/0002734728
39,‘제 2의 딥시크’? 중국 스타트업 공개한 AI 에이전트 ‘마누스’에 관심,https://n.news.naver.com/mnews/article/032/0003355484
40,"‘한국판 블랙록 나오나’ 당정, 가상자산 현물 ETF 속도전",https://n.news.naver.com/mnews/article/014/0005318261
41,오락가락 트럼프 '관세폭탄' 속 美 의약품 수입 전년比 55% 급증,https://n.news.naver.com/mnews/article/014/0005318257
42,"기아 타스만, 출시 1달 만에 4천대 계약해",https://n.news.naver.com/mnews/article/088/0000934972
43,트럼프 압박에 젤렌스키 손에서 쏟아진 카드…알고 보니 [영상],https://n.news.naver.com/mnews/article/015/0005103795
44,"""중국 AI, 美 정부 기기서 퇴출되나""…트럼프 행정부 딥시크 차단 검토",https://n.news.naver.com/mnews/article/029/0002939886
